epoch,time,loss,accuracy,val_loss,val_accuracy,lr
0,20.413113117218018,0.8043637871742249,0.6118001341819763,0.6761215329170227,0.734559178352356,0.001
1,19.112853288650513,0.4509234130382538,0.7870895266532898,0.45717084407806396,0.8316831588745117,0.001
2,19.198177337646484,0.3540574312210083,0.832624614238739,0.39877018332481384,0.8495992422103882,0.001
3,19.328925132751465,0.30484479665756226,0.8551854491233826,0.37078484892845154,0.8613861203193665,0.001
4,19.204853773117065,0.26331356167793274,0.8701866269111633,0.39621296525001526,0.853842556476593,0.001
5,19.160942316055298,0.24104657769203186,0.881053626537323,0.3260086476802826,0.8802451491355896,0.001
6,19.250988245010376,0.22081109881401062,0.8899716734886169,0.31381991505622864,0.8840169906616211,0.001
7,19.215906381607056,0.1990264356136322,0.8964682221412659,0.31342995166778564,0.8877887725830078,0.001
8,19.26820468902588,0.1867695301771164,0.9029647707939148,0.32511231303215027,0.8811880946159363,0.001
9,19.151197910308838,0.17608056962490082,0.9090479612350464,0.3236421048641205,0.8920320868492126,0.001
10,19.167908191680908,0.12809306383132935,0.9339120984077454,0.31346437335014343,0.9000471234321594,0.000100000005
11,19.40832281112671,0.11797081679105759,0.938518762588501,0.3181073069572449,0.9005185961723328,0.000100000005
12,19.848604202270508,0.11509448289871216,0.9378100633621216,0.31848618388175964,0.8972182869911194,0.000100000005
13,19.674569606781006,0.10644833743572235,0.9425939321517944,0.31985580921173096,0.8981612324714661,0.000100000005
14,20.041102409362793,0.10737023502588272,0.9424167275428772,0.3259185254573822,0.8991041779518127,0.000100000005
15,19.65777063369751,0.10369087755680084,0.9459012746810913,0.33662572503089905,0.8986327052116394,0.000100000005
16,19.856348276138306,0.09929224848747253,0.9471415281295776,0.33865252137184143,0.8972182869911194,1.0000001e-05
17,19.968923091888428,0.09766223281621933,0.9485589265823364,0.33426734805107117,0.8976897597312927,1.0000001e-05
18,19.98750329017639,0.09466729313135147,0.9480274319648743,0.33662593364715576,0.9000471234321594,1.0000001e-05
19,19.869346380233765,0.0967656746506691,0.9476140141487122,0.33916139602661133,0.8976897597312927,1.0000001e-05
20,20.387150287628174,0.09876766800880432,0.9480864405632019,0.33838561177253723,0.8995756506919861,1.0000001e-05
21,20.063613891601562,0.09354071319103241,0.9493266940116882,0.34085580706596375,0.8991041779518127,1.0000001e-05
22,19.867465496063232,0.09442911297082901,0.9503307342529297,0.34009721875190735,0.8981612324714661,1.0000001e-06
23,19.841800689697266,0.09529314190149307,0.9484408497810364,0.34000709652900696,0.8976897597312927,1.0000001e-06
24,19.762124061584473,0.09645368903875351,0.947850227355957,0.3396242558956146,0.8981612324714661,1.0000001e-06
