epoch,time,loss,accuracy,val_loss,val_accuracy,lr
0,41.47951865196228,1.1002817153930664,0.5134656429290771,0.8447958827018738,0.645450234413147,0.001
1,39.61151933670044,0.8223847150802612,0.6433970928192139,0.7226933836936951,0.6935408115386963,0.001
2,37.02051877975464,0.7624120712280273,0.6674935221672058,0.6883864998817444,0.7152286767959595,0.001
3,35.99093556404114,0.732130229473114,0.6760571599006653,0.7003452181816101,0.695898175239563,0.001
4,40.26439452171326,0.6987628936767578,0.6863335967063904,0.7042244672775269,0.6991984844207764,0.001
5,41.70312714576721,0.6947164535522461,0.6895228028297424,0.6346378922462463,0.7435172200202942,0.001
6,35.53275752067566,0.672569751739502,0.6968461871147156,0.6236489415168762,0.7336162328720093,0.001
7,43.110408306121826,0.6689768433570862,0.7010394334793091,0.6466246247291565,0.7331447601318359,0.001
8,36.24504637718201,0.6517543196678162,0.7047601938247681,0.6671968698501587,0.7152286767959595,0.001
9,34.768643856048584,0.661109983921051,0.7027521729469299,0.654866099357605,0.7416313290596008,0.001
10,34.52554273605347,0.6092355847358704,0.7260807752609253,0.6604154706001282,0.7194719314575195,0.000100000005
11,34.93191933631897,0.5956627726554871,0.7309237122535706,0.63302081823349,0.7355021238327026,0.000100000005
12,37.53615856170654,0.5827518105506897,0.7336995005607605,0.6556565761566162,0.7227723002433777,0.000100000005
13,37.08799338340759,0.583846926689148,0.7331088781356812,0.6384431719779968,0.7279585003852844,0.000100000005
14,37.331215381622314,0.5794252753257751,0.7340538501739502,0.6480423808097839,0.723243772983551,0.000100000005
15,36.900794506073,0.5777010917663574,0.7357075214385986,0.6178213357925415,0.7406883835792542,0.000100000005
16,36.507319688797,0.5739635229110718,0.7399007678031921,0.6255029439926147,0.737388014793396,1.0000001e-05
17,36.680694341659546,0.564658522605896,0.7391330003738403,0.6314456462860107,0.7307873368263245,1.0000001e-05
18,37.204655170440674,0.56517094373703,0.7439168691635132,0.6316397786140442,0.7303158640861511,1.0000001e-05
19,37.33827328681946,0.5691512823104858,0.7417316436767578,0.6325129866600037,0.7289014458656311,1.0000001e-05
20,36.80261969566345,0.5617308020591736,0.7391920685768127,0.6337037086486816,0.7303158640861511,1.0000001e-05
21,36.1158504486084,0.5643150210380554,0.7377155423164368,0.630953848361969,0.7326732873916626,1.0000001e-05
22,36.98089575767517,0.5642337203025818,0.7447437047958374,0.63129061460495,0.7317303419113159,1.0000001e-06
23,36.053521394729614,0.5651416778564453,0.740963876247406,0.6318777203559875,0.7312588691711426,1.0000001e-06
24,36.81278872489929,0.5607210397720337,0.7433853149414062,0.6324249505996704,0.7312588691711426,1.0000001e-06
